signal,param,value,arch,seed,N_sens,mean_amp_corr,mean_freq_corr,mean_plv,mean_phase_deg,rmse_o1_g,rmse_ref_o1,rmse_ref_g,conv_threshold_time_s,conv_settle_time_s,conv_reached_threshold,steady_err_o1_g,sim_time_s,sim_python_peak_mem_mb,sim_rss_peak_delta_mb,train_time_s
oscillator,eta,0.001,PC-SC,3,20,0.9953543283863384,0.9980491611110519,0.9999535071757195,2.1817907540411405,0.026926452627180512,0.4629445343351785,0.48454584160561676,1.085,1.091,True,0.038517806527311856,6.955479624000873,23.568540573120117,2.3984375,0.9194178949983325
oscillator,eta,0.001,PC-EC,4,20,0.9872747133684576,0.9767290995286029,0.9999866462159593,2.79211092625074,0.033591908573662614,0.8587204431591191,0.8429112946069924,1.105,1.089,True,0.04742146636935422,4.803578613002173,15.637460708618164,0.0,0.9538458479983092
oscillator,eta,0.001,PC-SC,4,20,0.9871148315134468,0.9762426114694511,0.9999863463974613,2.9322083442311664,0.03525161033168852,0.8587204431591191,0.8421177291858637,29.286,1.088,True,0.04975673892775525,6.796643358000438,22.878411293029785,2.078125,0.9538458479983092
oscillator,eta,0.001,PC-EC,5,20,0.992346923116704,0.09175448585382079,0.9998169319918797,3.4605468619368276,0.04916165672992371,0.5985566610655327,0.6348453660019565,,1.048,False,0.0698325629927455,4.59408505799729,16.341035842895508,0.00390625,0.9423834869994607
oscillator,eta,0.001,PC-SC,5,20,0.9934283869716785,0.09143201757379371,0.9998429200897477,3.123056696447196,0.04438088122286179,0.5985566610655327,0.6313714984890161,,1.049,False,0.06305153219727114,6.318729787999473,23.029290199279785,2.23828125,0.9423834869994607
oscillator,eta,0.001,PC-EC,6,20,0.9978264630268239,0.07421207774656863,0.9999162871668841,1.6236442159662423,0.020498761212284156,0.5577409504877844,0.57413733661241,1.074,1.09,True,0.029009128066334728,4.925248006002221,17.259034156799316,0.75390625,0.9221352960012155
oscillator,eta,0.001,PC-SC,6,20,0.9947097128049807,0.0749396601845822,0.9997430519655418,3.5309677423359656,0.04420957476760106,0.5577409504877844,0.5929815135648674,,1.058,False,0.06256194011328244,6.524160693999875,23.664579391479492,1.796875,0.9221352960012155
oscillator,eta,0.001,PC-EC,7,20,0.9989680599896467,0.9904722291105206,0.9999917818252684,1.8139230961668675,0.019412022693077995,0.8211657585866632,0.829819961669515,1.077,10.06,True,0.025861910083821105,4.469791130999511,16.818418502807617,0.00390625,0.9935889369990036
oscillator,eta,0.001,PC-SC,7,20,0.9941766391107283,0.9393908339559827,0.9999530992968009,6.102950271338843,0.06449048239839207,0.8211657585866632,0.8481682656948345,,9.946,False,0.08584002038177867,7.764868343001581,20.398252487182617,0.0234375,0.9935889369990036
oscillator,eta,0.001,PC-EC,8,20,0.9952180660648149,0.9967759095404101,0.9999349665078017,1.9289574032896635,0.02399814881633633,0.6981160842875862,0.7163929788496235,1.079,1.091,True,0.03394528190921653,4.3114443400008895,16.643556594848633,0.0,0.962633671999356
oscillator,eta,0.001,PC-SC,8,20,0.9949401413210618,0.9965605571835223,0.9999308306771328,2.1284502506968517,0.026421957699218127,0.6981160842875862,0.7182359167174195,1.084,1.092,True,0.03736004537478398,6.447172968000814,23.693212509155273,2.6171875,0.962633671999356
oscillator,eta,0.001,PC-EC,9,20,0.9953586228277681,0.9948741435400292,0.9999036861202562,2.3543928625485653,0.029476681004635328,0.1519522871775245,0.17844013609812145,1.09,1.09,True,0.041686801669510776,4.49874043300224,17.166139602661133,0.0,0.9385116140001628
oscillator,eta,0.001,PC-SC,9,20,0.9962576057113806,0.995786929450893,0.999921022919968,2.0350564194087957,0.02553472884107181,0.1519522871775245,0.1747980942358366,1.081,1.09,True,0.03612095141276291,6.671723202998692,25.037992477416992,2.3671875,0.9385116140001628
oscillator,eta,0.01,PC-EC,0,20,-0.10566841890863597,-0.0500785289206413,0.026293616817927988,11.82433861495041,8.029570714824335e+28,0.19664340226687707,8.029570714824335e+28,,30.0,False,1.7774575199890415e+29,4.681405224997434,17.860231399536133,0.0,0.9347169290012971
oscillator,eta,0.01,PC-SC,0,20,-0.18268523165151912,0.0626897383380186,0.009167548636345868,159.86724825160158,1.7862784937133777e+25,0.19664340226687707,1.7862784937133777e+25,,30.0,False,3.954176697869709e+25,7.082063861002098,24.130290031433105,1.80859375,0.9347169290012971
oscillator,eta,0.01,PC-EC,1,20,-0.0005089554075820082,0.006137166217355463,0.02970809742229753,90.35530575605375,2317732920570.831,0.8988952223651023,2317732920570.8315,,30.0,False,5130625229302.703,4.853241405002336,17.40607738494873,0.0,0.8988812490024429
oscillator,eta,0.01,PC-SC,1,20,0.0,-0.15959465689516616,0.029329470470467446,140.535405096375,inf,0.8988952223651023,inf,20.628,0.0,True,inf,7.0762251330015715,22.861193656921387,0.82421875,0.8988812490024429
oscillator,eta,0.01,PC-EC,2,20,-0.01545899562244965,-0.006456978439827864,0.04711448653618394,5.084035577238536,21.87883540581801,0.4657673143341868,21.8842153725048,,30.0,False,45.31025912977311,4.373343666000437,18.104978561401367,0.15625,0.9349177250005596
oscillator,eta,0.01,PC-SC,2,20,0.0,0.22824928917510026,0.02079843685317312,153.3393590338225,inf,0.4657673143341868,inf,21.306,0.0,True,inf,6.545329060998483,22.012818336486816,0.42578125,0.9349177250005596
oscillator,eta,0.01,PC-EC,3,20,-0.015004386606855793,0.0452104606034228,0.20831619312510413,0.4962148953947273,2.826270404688709,0.4629445343351785,2.864066629717351,,5.792,False,4.165552489057166,5.364641993000987,16.96696186065674,0.0,0.9194178949983325
oscillator,eta,0.01,PC-SC,3,20,-0.33388837546478606,0.12500180858942844,0.016587040872251074,55.85691906243182,8.514867384595085e+129,0.4629445343351785,8.514867384595085e+129,,30.0,False,1.8848847095294636e+130,6.815888722998352,23.763673782348633,1.51953125,0.9194178949983325
oscillator,eta,0.01,PC-EC,4,20,-0.0014157485051442958,0.03367479546911366,0.17586542584633727,0.7910574760689957,3.305332566552872,0.8587204431591191,3.4156075503924264,,4.5280000000000005,False,4.615190469101693,4.501708947002044,16.582310676574707,0.00390625,0.9538458479983092
oscillator,eta,0.01,PC-SC,4,20,0.07641050715408951,-0.04523046636440302,0.006988414947144783,37.98640778488589,4.877417820147487e+35,0.8587204431591191,4.877417820147487e+35,,30.0,False,1.0796844925400687e+36,6.438558477999322,22.802122116088867,1.08203125,0.9538458479983092
oscillator,eta,0.01,PC-EC,5,20,0.9897904373509896,0.9957639898962907,0.9999364016698468,0.0161489062098812,0.00842885619418241,0.5985566610655327,0.5991726550348728,1.746,9.255,True,0.010666541632814537,4.873232263002137,15.159151077270508,0.0,0.9423834869994607
oscillator,eta,0.01,PC-SC,5,20,-0.09409812443390966,0.042201780724269874,0.013066176511581698,165.1765200512601,12887150727.162971,0.5985566610655327,12887150727.16113,,30.0,False,28527506275.406887,6.820666994997737,22.504179000854492,0.83984375,0.9423834869994607
oscillator,eta,0.01,PC-EC,6,20,0.0,0.16794736582781947,0.017707477423976402,140.04685463751372,inf,0.5577409504877844,inf,26.748,0.0,True,inf,4.492710933998751,18.473904609680176,0.0,0.9221352960012155
oscillator,eta,0.01,PC-SC,6,20,0.9911292297789602,0.9981291737960093,0.9999716725478099,0.027487569882582018,0.006588536934906252,0.5577409504877844,0.5582982401175706,1.403,9.74,True,0.00948698341882297,6.84171572500054,23.378690719604492,1.71875,0.9221352960012155
oscillator,eta,0.01,PC-EC,7,20,-0.1491247723342368,-0.03928438337759106,0.01783241602160481,47.604791988381635,inf,0.8211657585866632,inf,25.137,0.0,True,inf,5.370575644999917,18.159940719604492,0.265625,0.9935889369990036
oscillator,eta,0.01,PC-SC,7,20,0.9975495976611595,0.9737832395561227,0.9999814522434751,0.2925739349137901,0.005950803992495866,0.8211657585866632,0.8228130656718693,1.062,7.402,True,0.008035443471534807,6.695345799998904,19.78644371032715,0.00390625,0.9935889369990036
oscillator,eta,0.01,PC-EC,8,20,0.004577546508601668,0.0401004409520878,0.007432011876775144,48.33099856715338,inf,0.6981160842875862,inf,24.594,0.0,True,inf,4.511145316002512,18.820615768432617,0.00390625,0.962633671999356
